scenario_index,v27_rf,v28_rf,delta_rf,v27_progress,v28_progress,delta_progress,v27_comfort,v28_comfort,delta_comfort,v27_collision,v28_collision,delta_collision,v27_overlap,v28_overlap,delta_overlap,v27_offroad,v28_offroad,delta_offroad,v27_accuracy,v28_accuracy,delta_accuracy
98,0.94033396,0.9659355,0.025601539999999923,0.9147628,0.9513365,0.03657370000000004,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0
99,0.90126085,0.94024944,0.03898858999999999,0.89108694,0.91464204,0.02355510000000005,0.925,1.0,0.07499999999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0
100,0.9408787,0.97375005,0.03287135000000008,0.9744695,1.0,0.02553050000000001,0.8625,0.9125,0.04999999999999993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0
101,0.9553303,0.9319231,-0.02340719999999996,0.93618613,0.96167576,0.02548963000000004,1.0,0.8625,-0.13749999999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0
102,0.93051165,0.85178864,-0.07872301000000004,0.90073097,0.78826946,-0.11246151000000004,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0
103,0.9211445,0.9386385,0.01749400000000001,0.8873493,0.91234064,0.02499134000000003,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0
104,0.8915073,0.92900735,0.03750005000000001,0.898582,0.898582,0.0,0.875,1.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0
105,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0
106,0.9601207,0.8820138,-0.07810690000000009,0.9430295,0.83144826,-0.11158123999999991,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0
107,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0
108,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0
109,0.9492381,0.95772994,0.008491840000000028,0.927483,0.9396142,0.012131200000000009,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0
110,0.9534797,0.9811718,0.027692099999999997,0.98711383,0.9731026,-0.01401122999999993,0.875,1.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0
111,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0
112,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0,0,0
113,0.8023488,0.85866684,0.05631804000000007,0.824784,0.8623811,0.03759710000000005,0.75,0.85,0.09999999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0
114,0.9285364,0.958635,0.030098599999999975,0.94612354,0.97304994,0.026926400000000017,0.8875,0.925,0.03750000000000009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0
115,0.88686144,0.8625782,-0.02428324000000004,0.83837354,0.8036831,-0.03469043999999999,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0
116,0.8847856,0.91140664,0.026621040000000096,0.8354079,0.873438,0.03803010000000007,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0
117,0.9388525,0.94761544,0.008762939999999997,0.91264635,0.92516494,0.012518589999999996,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0
118,0.8982746,0.8982746,0.0,0.8546781,0.8546781,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0
119,0.8812315,0.9062831,0.025051600000000063,0.93747365,0.96254724,0.02507358999999998,0.75,0.77500004,0.02500004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0
120,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0
121,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0
122,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0
123,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0
124,0.95928496,0.8434221,-0.11586286000000001,0.94183576,0.8031031,-0.13873266000000006,1.0,0.9375,-0.0625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0
125,0.97765046,0.9450226,-0.03262785999999995,0.96807206,0.9214609,-0.046611159999999985,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0
126,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0
127,0.97600985,1.0,0.023990150000000043,0.96572834,0.99999994,0.03427160000000007,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0
128,0.91375,0.94,0.026249999999999996,0.99999994,0.99999994,0.0,0.71250004,0.8,0.08749996000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0
129,0.9607617,0.9607617,0.0,0.94394535,0.94394535,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0
130,0.97345465,0.94698554,-0.026469109999999962,0.9620781,0.924265,-0.037813100000000044,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0
131,0.71551335,0.6015102,-0.11400315000000005,0.5935905,0.43072885,-0.16286165000000002,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0
132,0.99808484,0.99808484,0.0,0.99726397,0.99726397,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0
133,0.0,0.0,0.0,0.11746589,0.11746589,0.0,0.5,1.0,0.5,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0,0,0
134,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0
135,0.85809577,0.8730957,0.014999929999999995,0.8562081,0.8562081,0.0,0.8625,0.9125,0.04999999999999993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0
136,0.93001616,0.93883556,0.008819400000000033,0.900023,0.9126222,0.012599200000000033,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0
137,0.97749996,1.0,0.022500040000000054,0.99999994,0.99999994,0.0,0.925,1.0,0.07499999999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0
